sample,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26
Armenia_EIA_o2_son.I17181:I16219,0.097888,0.123895,-0.056945,-0.037791,-0.032006,0.008924999999999999,0.009635,-0.016153,-0.043768,-0.023508,-6.500000000000001e-4,0.013938,-0.016501,-0.006881,0.009365,0.009016,0.024381999999999997,-0.003927,0.0012569999999999999,0.0068779999999999996,6.24e-4,0.0072959999999999995,4.93e-4,-0.011688,-0.008742
Armenia_EIA_oSouth:I19322,0.088782,0.137096,-0.063733,-0.06944499999999999,-0.024004,-0.022869,0.005405,-0.0062309999999999996,-0.016566,-0.005103,0.006496,0.010041,0.003568,-0.004129,-0.0033929999999999993,0.022407999999999997,0.023208,-0.0038009999999999997,-7.54e-4,-0.012006,0.003743,-0.0040809999999999996,-0.001849,-0.0034939999999999997,4.79e-4
Armenia_IA:I13947,0.111547,0.13405,-0.024513,-0.019703,-0.029543999999999997,0.004462,0.013866,-0.004615,-0.046222,-0.018224,0.004872,0.004646,-0.015609,0.00578,0.015743999999999998,0.009281,0.019688,0.010895,-0.013952,0.002751,3.74e-4,-0.0021019999999999997,0.013188,0.002289,0.003832
Armenia_IA:I14054,0.105855,0.12592599999999998,-0.036204,-0.019703,-0.028928,0.004462,0.004465,-0.007384,-0.040496,-0.019317,-0.004872,0.006444,-0.011744,0.001927,0.0025789999999999997,-0.022010000000000002,-0.01017,0.003294,-0.002137,-3.75e-4,-0.0026200000000000004,0,0.002218,8.43e-4,0.002874
Armenia_IA:I14057,0.104717,0.118817,-0.051288,-0.010659,-0.047086,-0.003068,-7.05e-4,-0.008768999999999999,-0.045813,-0.033349,-0.002761,0.004046,-0.010704,-0.00578,0.008686,-0.002519,0.011604,-0.004814,-0.008546999999999999,0.007754,0.0072369999999999995,-9.89e-4,0.001356,-0.005784,0.005748
Armenia_IA:I16536,0.110408,0.126941,-0.050911,-0.029716,-0.036007,-0.005856999999999999,0.00846,-0.008076999999999999,-0.062789,-0.035718,-0.003248,0.003447,-0.013231,-0.006881,-0.007057,-0.0047729999999999995,0.012386,-0.004434,0.011061,0.009254,0.008485,0.012242,-4.93e-4,0.003374,7.18e-4
Armenia_IA:I16707,0.11610000000000001,0.119832,-0.024136,0.004522,-0.037544999999999995,0.003626,0.0047,-0.010615,-0.043768,-0.026242,0.007470000000000002,0.007194,-0.010555,-0.009083,0.014386,0.003845,-0.003912,-0.0038009999999999997,3.77e-4,-0.004377,-0.007736,-0.0040809999999999996,0.00419,0.002892,-0.005268999999999999
Armenia_IA:I17184,0.097888,0.13811199999999998,-0.06712699999999999,-0.054910000000000014,-0.037238,-0.011156,0.00564,-0.004384,-0.056449,-0.017859,0.004709,0.010041,-0.018731,0.009221,-0.007057,-0.024396,-0.00678,8.87e-4,-0.005782,0.011881,0.013601,0.0021019999999999997,0.001602,-0.014339,-0.002155
Armenia_IA:I3938,0.106994,0.137096,-0.047517,-0.026163,-0.018465,-0.005856999999999999,0.00799,-0.009923,-0.056652999999999995,-0.018588,0.0014609999999999998,0.013338,-0.013528,0.0027519999999999997,-0.001086,-0.02559,-0.001695,-0.011529,-0.014455,-0.008754,0.007362,0.004699,0.001725,-0.011206,0.008022999999999999
Armenia_IA_oSouth:I17308,0.10927,0.132019,-0.046386,-0.050065,-0.029543999999999997,-0.010877,0.00517,-0.005769,-0.022907,-0.010205,0.002923,-0.006444,-0.00223,0.018304,-0.002172,-0.014585,-0.018906,0,0.006788,-0.004252,0.0026200000000000004,0,-0.004807,-0.003133,9.58e-4
Armenia_IA_oSouth:I19327,0.095611,0.140143,-0.055814,-0.054910000000000014,-0.026159,-0.016176,0.00517,-0.0062309999999999996,-0.030474,-0.004190999999999999,0.002273,0.004196,-0.014271,-0.001651,-0.0019,-0.014187,-0.00691,0.003547,0.004148,-0.001,-2.5e-4,0.004203999999999999,0.006901999999999999,-0.0039759999999999995,0.008981
Armenia_LBA_EIA:I14051,0.10927,0.120848,-0.042615,-0.010013,-0.036622,0.001673,0.006580000000000002,-0.008076999999999999,-0.045200000000000004,-0.020775,0.005684,0.012439,-0.012785,-0.001789,0.011672,0.01127,0.011865,-0.008235,-0.012193,-6.25e-4,-0.004991,3.7099999999999996e-4,0.0036969999999999998,-0.010242,0.003952
Armenia_LBA_EIA:I14052,0.101303,0.119832,-0.037712,-0.015827,-0.036007,0.006692999999999999,0.007285,-0.008768999999999999,-0.046222,-0.019681,-0.004709,0.002098,-0.003717,-0.00867,0.016151,0.010077,-0.002999,-0.004687,0.005405,-0.002126,0.004866,-4.95e-4,0.004314,-0.001205,0.005508
