sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Afrikaner:AFR035,0.119514,0.136081,0.052043,0.047158,0.034468,0.017291,0.00658,0.010846,0.006954,0.002005,0.004384,0.002847,-0.007879,-0.003853,0.014386,-0.003845,-0.018906,0.008868,0.005405,0.003752,0.006114,-0.001484,0.000739,0.008194,0.000838
Afrikaner:AFR046,0.110408,0.123895,0.050157,0.042959,0.038469,0.012829,0.003995,0.006231,-0.000614,0.00328,-0.009256,0.004196,-0.005352,0.003165,0.014251,0.00769,0.002347,0.003927,0.005656,0.007128,-0.000374,0.003215,-0.003081,0.006507,0.000359
Afrikaner:AFR049,0.117238,0.128972,0.046386,0.037468,0.032314,0.017849,0.008695,0.007846,0.001841,0.015308,0.001949,0.007643,-0.011596,-0.001789,0.010993,0.00053,-0.004433,0.005194,0.007542,-0.001126,0.001248,0.003091,-0.003451,0.013375,-0.005508
Afrikaner:AFR051,0.103579,0.128972,0.053928,0.041667,0.038776,0.020359,0.002115,0.006231,0,0,0.001299,0.004646,-0.010704,-0.004129,0.021172,-0.004773,-0.017602,0.003801,0.012318,0.003377,0.001996,0.001607,0,0.006025,-0.00012
Afrikaner:AFR053,0.124067,0.13405,0.054682,0.036499,0.038161,0.012829,-0.000705,0.004615,0.007772,0.007289,-0.006008,0.007044,-0.012487,-0.008945,0.019272,0.001856,-0.002217,-0.000633,0.001257,0.007504,0.011355,0.001607,0.003944,0.001566,0.003353
Afrikaner:AFR056,0.118376,0.137096,0.052797,0.036822,0.041238,0.005578,0.00611,0.004615,0.009613,0.004556,-0.001949,0.004946,-0.01442,-0.012248,0.015201,0.005038,-0.009909,-0.000507,0.000754,0.004002,0.004742,0.007543,-0.003697,0.020244,-0.001796
Afrikaner:AFR057,0.121791,0.128972,0.05242,0.031008,0.037238,0.01506,0.004465,0.008307,0.012271,0.012939,0.000812,0.006444,-0.011744,-0.010872,0.007872,0.005304,-0.005607,0.003674,0.002514,-0.001,0.001248,0.002597,-0.002588,0.004097,-0.00012
Afrikaner:AFR064,0.110408,0.122879,0.049403,0.044574,0.03693,0.019243,0.001175,0.003,0.013499,0.005649,-0.001949,0.002847,-0.005352,-0.000826,0.009772,-0.001724,-0.01369,0.00076,-0.001885,0.005878,0.001996,0.001484,0.00037,0.006386,0.007424
Afrikaner:AFR067,0.103579,0.122879,0.04186,0.037145,0.032621,0.023985,0.01034,0.002308,0.008385,-0.005285,-0.003085,0.00045,-0.0055,0.005092,0.010179,-0.00769,-0.019558,0.009755,0.007039,-0.000375,0.001996,0.001484,0.003451,0.007832,0.00491
Afrikaner:AFR076,0.12862,0.116786,0.046386,0.036176,0.041546,0.011713,0.000705,0.010153,0.008795,0.011116,-0.012829,0.005245,-0.013528,-0.014313,0.017101,0.003978,-0.009779,0.003167,0.005531,0.005253,-0.001248,0.004575,-0.002588,0.012291,0.003113
Afrikaner:AFR081,0.112685,0.131003,0.04978,0.047158,0.033237,0.015897,0.001645,0.005769,0.004295,0.008565,-0.00682,0.003447,-0.014717,-0.009634,0.021037,0.005701,-0.0103,0.00114,0.000754,-0.004252,-0.00262,-0.000371,-0.004067,0.015183,-0.003113
