sample,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26
Poland_Strzyzow_Culture:poz792,0.117238,0.109677,0.064111,0.084303,0.021542,0.029562,-0.00282,0.014538,-0.025361,-0.033896,-0.000325,0.004646,-0.00446,-0.002202,0.015201,0.003845,-0.008996,-0.005194,-0.011313,0.011881,0.009483,0.003833,0.008381,0.024461,-0.003832
Poland_Strzyzow_Culture_oBS:poz794,0.130897,0.117801,0.089,0.110467,0.049548,0.037092,0.008695,0.017076,0.001023,-0.042097,-0.005684,-0.014837,0.02884,0.026561,-0.009908,0.019093,0.018123,0.005068,0.004525,0.013632,0.002745,-0.00507,0.011339,-0.025666,-0.005508
Poland_Strzyzow_Culture_oWHG:poz758,0.122929,0.119832,0.107102,0.104329,0.047393,0.038208,0.012221,-0.009,0.009613,-0.032985,-0.000325,-0.001349,-0.010258,-0.010735,0.014251,0.014717,-0.00352,-0.016089,-0.012947,0.011756,0.008235,0.001731,-0.007395,-0.034824,-0.006347
Poland_TRB.SG:N18,0.120652,0.17264000000000004,0.046386,-0.039729,0.084939,-0.022311,-0.004935,0.0023079999999999997,0.055426,0.078544,0.0034100000000000003,0.011240000000000003,-0.021407,-0.00523,-0.014929,-0.013789,-0.004955,-0.0020269999999999997,0.004902,-0.0018759999999999998,0.012104,-0.003215,-0.010723,-0.027111999999999997,-0.001676
Poland_TRB.SG:N20,0.122929,0.166547,0.053928,-0.037468,0.07170599999999999,-0.020638,-2.35e-4,0.002538,0.051948999999999995,0.08583299999999999,0.003248,0.011989,-0.016204,-0.007019,-0.019271999999999997,0.0035800000000000003,0.013038,0.006713999999999999,0.00817,-0.003502,0.009982,3.7099999999999996e-4,-0.007888,-0.027594,-0.003832
Poland_TRB_o.SG:N19,0.130897,0.179749,0.030170000000000002,-0.065246,0.069244,-0.034304,0,-0.003692,0.036610000000000004,0.077086,-0.002273,0.010041,-0.026164,-0.008257,-0.029723,0.0071600000000000006,0.034682,0.00152,0.007164999999999999,-0.006503,0.005988999999999999,0.0040809999999999996,-0.008751,-0.010242,-0.008502
Poland_Trzciniec_Culture:poz155,0.124067,0.12491,0.080327,0.069768,0.059703,0.020638,0.00564,0.013615,0.026793,-0.00164,-0.003735,0.001798,0.005649,0.010735,0.000136,0.010209,0.000782,0.004434,0.005656,0.015507,0.008111,0.000866,-0.001232,-0.031209,-0.006945
Poland_Trzciniec_Culture:poz506,0.105855,0.117801,0.101445,0.108852,0.055703,0.033467,-0.004935,0.022153,-0.003681,-0.019135,-0.008607,-0.001199,0.035679,0.010184,0.027551,0.025988,0.007041,0.015709,0.008673,0.02151,0.013851,0.024854,-0.007272,-0.032655,-0.003113
Poland_Trzciniec_Culture:poz507,0.137726,0.11577,0.07731,0.097869,0.047393,0.042391,0.011281,0.014076,-0.015748,-0.040821,-0.006333,-0.008542,0.010704,0.012248,0.013436,0.012331,-0.011474,-0.004561,0.000754,0.001751,0.017844,0.003957,0.004807,-0.011327,-0.006107
Poland_Trzciniec_Culture:poz507_2,0.12862,0.120848,0.084852,0.100776,0.046778,0.043786,0.00611,0.011999,-0.005522,-0.040274,-0.004872,-0.014837,0.017839,0.013212,0.006515,0.009944,-0.000652,-0.003294,0.007165,0.007504,0.000624,-0.007543,0.002342,-0.006627,0.000958
Poland_Trzciniec_Culture:poz543,0.106994,0.117801,0.084098,0.125971,0.056934,0.04267,0.016451,0.005077,0.007158,-0.024966,-0.008282,-0.005545,0.021556,0.007844,0.015608,-0.001458,0.040941,-0.00114,0.003142,0.014257,0.004617,-0.008656,0.029456,-0.010001,-0.012933
Poland_Trzciniec_Culture:poz545,0.121791,0.133034,0.073916,0.093024,0.032006,0.036814,0.013631,0.010615,-0.005113,-0.037723,0.001299,-0.003597,0.008771,0.023809,-0.012079,0.002254,0.00013,-0.002154,-0.005405,-0.01013,0.005366,-0.011871,-0.003328,-0.012893,0.003712
Poland_Trzciniec_Culture:poz545_2,0.119514,0.120848,0.07203,0.088179,0.036007,0.038766,0.016451,0.001615,-0.0045,-0.035354,-0.000162,-0.008692,0.013974,0.020643,0.004614,-0.005304,-0.0103,-0.002027,-0.00088,-0.004002,0.004991,-0.005812,0.0053,-0.001325,-0.003233
Poland_Trzciniec_Culture:poz551,0.117238,0.119832,0.081458,0.105622,0.048932,0.040439,0.00987,0.031153,0.011658,-0.030616,0.016564,0.001349,0.026016,0.02202,0.002172,0.033147,0.020992,0.002787,-0.003771,0.01063,0.007612,-0.014467,-0.010969,-0.012291,0.012454
Poland_Trzciniec_Culture:poz551_2,0.127482,0.125926,0.077687,0.088825,0.044624,0.03263,0.00564,0.015692,0.00409,-0.029704,0.004222,-0.003897,0.016501,0.015689,-0.008958,0.016574,0.017993,-0.002407,0.00264,0.006378,0.004118,0.000618,-0.000493,-0.012773,0.000239
Poland_Trzciniec_Culture:poz552,0.121791,0.125926,0.082212,0.099161,0.043393,0.042391,0.008695,0.022153,0.001841,-0.037358,-0.010555,-0.004946,0.016799,0.022708,0.0019,-0.001326,-0.018123,-0.001647,0.004148,0.008004,0.000998,-0.007419,0.007025,-0.010363,0.013532
Poland_Trzciniec_Culture:poz554,0.124067,0.11577,0.085229,0.093347,0.040007,0.03514,0.00705,0.012461,-0.003477,-0.032985,-0.009094,-0.012889,0.020367,0.028488,0.001357,-0.007823,-0.008605,0.005194,0.008547,0.012131,0.004118,-0.004822,0.000986,-0.010724,0.00946
Poland_Trzciniec_Culture:poz555,0.121791,0.125926,0.09164,0.121126,0.051702,0.050758,0.00047,0.005538,-0.005727,-0.047017,-0.024845,-0.002698,0.021407,0.019955,0.017236,-0.01843,-0.011083,0.010895,-0.019609,0.009254,0.012104,-0.002349,0.01023,-0.03386,0.010179
Poland_Trzciniec_Culture:poz583,0.118376,0.112724,0.080327,0.084303,0.033545,0.049085,-0.011516,0.022384,0.005931,-0.034443,-0.002598,-0.011839,0.008325,0.007432,0.011672,0.00053,-0.021513,0.00076,0.019357,-0.005878,0.018343,-0.010016,-0.017871,-0.028558,0.001197
Poland_Trzciniec_Culture:poz584,0.137726,0.113739,0.083344,0.089794,0.042162,0.006414,0.004465,0.020307,-0.000818,-0.022597,-0.004384,-0.00015,0.00996,0.008533,-0.042209,-0.019623,0.007171,-0.008742,-0.007416,0.02126,0.003619,-0.006801,-0.004683,-0.019641,-0.006945
Poland_Trzciniec_Culture:poz649,0.126344,0.125926,0.088246,0.066215,0.036007,0.020359,0.00047,0.015692,-0.00859,-0.00328,-0.007145,0.002997,0.002527,0.003991,-0.006107,-0.013259,0.010431,-0.004687,-0.01345,0.019009,-0.000374,0.004204,-0.007888,-0.011447,0.002395
Poland_Trzciniec_Culture:poz650,0.125205,0.117801,0.087869,0.097546,0.044624,0.036814,0.00141,0.022845,-0.002454,-0.064512,-0.006658,-0.023529,0.01442,0.017065,0.008686,0.007558,0.012386,-0.008108,0.004777,0.01013,0.012228,0.000247,-0.0053,-0.006266,0.00012
Poland_Trzciniec_Culture:poz651,0.117238,0.132019,0.084852,0.066861,0.037853,0.039881,-0.00658,0.008538,-0.005113,-0.025513,0.012017,0.010341,-0.009366,0.004954,0.013165,0.005967,0.008475,-0.003927,0.010684,0.004002,-0.002995,0.005317,-0.006286,-0.004217,0.006826
Poland_Trzciniec_Culture:poz652,0.119514,0.121864,0.076555,0.101422,0.046162,0.044623,0.00799,0.016615,0.000409,-0.028064,0.01088,-0.016935,0.000595,0.016652,0.010043,0.005436,-0.008605,0,0.00264,-0.001751,0.004866,-0.001484,0.001109,0.001325,-0.011975
Poland_Trzciniec_Culture:poz654,0.113823,0.113739,0.086361,0.105945,0.036622,0.045459,-0.007285,0.019615,-0.011044,-0.027153,0.010068,-0.005545,0.016055,0.014038,0.010586,0.019491,0.021513,0.016343,0.014707,0.016883,-0.00574,-0.000371,0.01442,-0.017352,-0.005748
Poland_Trzciniec_Culture:poz655,0.1161,0.119832,0.081458,0.069768,0.032929,0.020917,0.004935,0.001615,0.003272,-0.02278,-0.000812,-0.003747,0.008028,0.005505,0.004479,0.008618,0.007171,0.004181,0.005908,0.004127,0.00287,0.012736,0.005669,0.00253,-0.002515
Poland_Trzciniec_Culture:poz658,0.119514,0.123895,0.083721,0.09044,0.048624,0.027889,0.003995,0.014769,-0.00225,-0.018953,0.001949,0.005395,0.009663,0.007707,0.003664,0.007955,0.005085,-0.00152,-0.004274,0.002501,0.004742,-0.004328,-0.003081,-0.010724,-0.007784
Poland_Trzciniec_Culture:poz659,0.118376,0.125926,0.089755,0.109498,0.040623,0.034582,0.00376,0.011769,-0.005727,-0.032074,0.001786,-0.009292,0.013082,0.011285,0.006922,0.022805,0.016689,-0.003167,0.004777,0.009379,-0.000374,-0.005317,-0.002342,-0.021087,-0.001796
Poland_Trzciniec_Culture:poz660,0.125205,0.128972,0.09956,0.104653,0.043085,0.037371,0.005875,0.019153,-0.005318,-0.034443,0.000325,-3e-04,0.013231,0.016652,-0.002714,0.000398,0.005607,-0.008488,0.008673,0.008254,0.013351,0.004204,0.000246,-0.021449,-0.005748
